id	label	cis_code	generic_type	elt_number	drug_name
28	NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule	61145672	0	1	
30	CROMOGLICATE DE SODIUM 100 mg/5 ml - NALCRON, solution buvable en ampoule.	60049322	0	1	
31	METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé	69662287	1	16	
35	GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable	66795019	0	1	
40	ACIDE FOLIQUE 5 mg - SPECIAFOLDINE 5 mg, comprimé.	63065730	1	5	
61	PENTOXIFYLLINE 400 mg - TORENTAL LP 400 mg, comprimé enrobé à libération prolongée	63510504	0	1	
62	NICERGOLINE 5 mg - SERMION 5 mg, gélule	61826304	0	1	
65	BUFLOMEDIL (CHLORHYDRATE DE) 150 mg - FONZYLANE 150 mg, comprimé pelliculé	62418729	0	1	
65	BUFLOMEDIL (CHLORHYDRATE DE) 150 mg - FONZYLANE 150 mg, comprimé pelliculé	61079012	1	2	
65	BUFLOMEDIL (CHLORHYDRATE DE) 150 mg - FONZYLANE 150 mg, comprimé pelliculé	69899197	1	3	
65	BUFLOMEDIL (CHLORHYDRATE DE) 150 mg - FONZYLANE 150 mg, comprimé pelliculé	64383376	1	4	
65	BUFLOMEDIL (CHLORHYDRATE DE) 150 mg - FONZYLANE 150 mg, comprimé pelliculé	69165431	1	5	
70	DIOSMINE 600 mg - DIOVENOR 600 mg, comprimé pelliculé	62216389	1	14	
82	BISOPROLOL (HEMIFUMARATE DE) 10 mg - DETENSIEL 10 mg, comprimé pelliculé sécable - SOPROL 10 mg, comprimé pelliculé sécable.	64560951	0	2	
91	DILTIAZEM (CHLORHYDRATE DE ) 90 mg - DIACOR L.P. 90 mg, gélule à libération prolongée.	68137653	0	1	
92	DILTIAZEM (CHLORHYDRATE DE) 120 mg - DIACOR L.P. 120 mg, gélule à libération prolongée.	65430658	0	1	
94	CAPTOPRIL 25 mg - CAPTOLANE 25 mg, comprimé sécable - LOPRIL 25 mg, comprimé sécable.	60193372	0	1	
95	CAPTOPRIL 50 mg - CAPTOLANE 50 mg, comprimé sécable - LOPRIL 50 mg, comprimé sécable.	64360267	0	1	
96	ENALAPRIL (MALEATE D') 5 mg - RENITEC 5 mg, comprimé.	66173533	2	9	
97	ENALAPRIL (MALEATE D') 20 mg - RENITEC 20 mg, comprimé.	62324703	1	8	
102	SIMVASTATINE 20 mg - ZOCOR 20 mg, comprimé pelliculé sécable - LODALES 20 mg, comprimé pelliculé.	67508618	1	14	
102	SIMVASTATINE 20 mg - ZOCOR 20 mg, comprimé pelliculé sécable - LODALES 20 mg, comprimé pelliculé.	68875268	2	15	
102	SIMVASTATINE 20 mg - ZOCOR 20 mg, comprimé pelliculé sécable - LODALES 20 mg, comprimé pelliculé.	63377299	1	20	
102	SIMVASTATINE 20 mg - ZOCOR 20 mg, comprimé pelliculé sécable - LODALES 20 mg, comprimé pelliculé.	65973262	2	21	
103	SIMVASTATINE 40 mg - ZOCOR 40 mg, comprimé pelliculé - LODALES 40 mg, comprimé pelliculé.	67920600	1	14	
103	SIMVASTATINE 40 mg - ZOCOR 40 mg, comprimé pelliculé - LODALES 40 mg, comprimé pelliculé.	69546642	1	18	
104	FENOFIBRATE 100 mg - FENOX 100 mg, gélule	63604761	0	1	
105	FENOFIBRATE 300 mg - FENOX 300 mg, gélule	69914400	0	1	
107	FENOFIBRATE 200 mg - LIPANTHYL 200 micronisé, gélule	62128462	1	8	
108	CIPROFIBRATE 100 mg - LIPANOR 100 mg, gélule	69508976	1	2	
109	ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, crème.	69457211	1	4	
110	ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, émulsion fluide pour application locale.	66798645	1	3	
111	ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, poudre pour application locale en flacon poudreur.	64772993	1	4	
112	ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, solution pour application locale en flacon pulvérisateur.	62865908	1	3	
114	POVIDONE IODEE 10 % - BETADINE DERMIQUE 10 POUR CENT, solution pour application locale.	65665193	1	2	
115	ISOTRETINOÏNE 5 mg - ROACCUTANE 5 mg, capsule molle	61674031	0	1	
116	ISOTRETINOÏNE 10 mg - ROACCUTANE 10 mg, capsule molle	68029478	0	1	
117	ISOTRETINOÏNE 20 mg - ROACCUTANE 20 mg, capsule molle	62035912	0	1	
119	LEVONORGESTREL 0,15 mg + ETHINYLESTRADIOL 0,03 mg - MINIDRIL, comprimé enrobé	69352541	1	5	
119	LEVONORGESTREL 0,15 mg + ETHINYLESTRADIOL 0,03 mg - MINIDRIL, comprimé enrobé	65516032	1	6	
129	CYPROTERONE (ACETATE DE) 50 mg - ANDROCUR 50 mg, comprimé sécable.	64277191	1	4	
129	CYPROTERONE (ACETATE DE) 50 mg - ANDROCUR 50 mg, comprimé sécable.	67972376	1	10	
130	CYPROTERONE (ACETATE DE) 2 mg + ETHINYLESTRADIOL 0,035 mg - DIANE 35 microgrammes, comprimé enrobé	63054659	1	2	
130	CYPROTERONE (ACETATE DE) 2 mg + ETHINYLESTRADIOL 0,035 mg - DIANE 35 microgrammes, comprimé enrobé	67463475	1	3	
130	CYPROTERONE (ACETATE DE) 2 mg + ETHINYLESTRADIOL 0,035 mg - DIANE 35 microgrammes, comprimé enrobé	67223601	1	4	
131	OXYBUTYNINE (CHLORHYDRATE D’) 5 mg - DITROPAN 5 mg, comprimé sécable	67961807	1	5	
138	CALCITONINE (SALMINE SYNTHETIQUE) 50 UI/1 ml - MIACALCIC 50 UI/1 ml, solution injectable ou pour perfusion.	67102813	1	2	
142	MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 50 mg - MYNOCINE 50 mg, gélule	61780814	0	1	
142	MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 50 mg - MYNOCINE 50 mg, gélule	64812498	1	2	
142	MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 50 mg - MYNOCINE 50 mg, gélule	62716177	1	3	
143	MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 100 mg - MYNOCINE 100 mg, gélule.	61853529	1	3	
144	MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 100 mg - MESTACINE 100 mg, comprimé pelliculé sécable.	67662114	0	1	
145	AMOXICILLINE 125 mg/5 ml - CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable.	64557364	1	5	
145	AMOXICILLINE 125 mg/5 ml - CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable.	68447342	1	12	
145	AMOXICILLINE 125 mg/5 ml - CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable.	61796957	1	13	
146	AMOXICILLINE 250 mg/5 ml - CLAMOXYL 250 mg/5 ml, poudre pour suspension buvable.	69584714	1	7	
146	AMOXICILLINE 250 mg/5 ml - CLAMOXYL 250 mg/5 ml, poudre pour suspension buvable.	69227783	1	15	
146	AMOXICILLINE 250 mg/5 ml - CLAMOXYL 250 mg/5 ml, poudre pour suspension buvable.	68104607	1	16	
147	AMOXICILLINE 500 mg/5 ml - CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable.	68461242	1	7	
147	AMOXICILLINE 500 mg/5 ml - CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable.	60083310	1	15	
147	AMOXICILLINE 500 mg/5 ml - CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable.	68112792	1	16	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	61600020	1	3	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	69416983	1	5	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	61552390	1	10	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	63499278	1	15	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	65009214	1	23	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	60987646	1	24	
148	AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule	65171903	1	26	
149	AMOXICILLINE 1 g - CLAMOXYL 1 g, poudre pour suspension buvable en sachet	65264040	0	1	
149	AMOXICILLINE 1 g - CLAMOXYL 1 g, poudre pour suspension buvable en sachet	64192741	1	2	
150	AMOXICILLINE 1 g - CLAMOXYL 1 g, comprimé dispersible	63026446	1	3	
150	AMOXICILLINE 1 g - CLAMOXYL 1 g, comprimé dispersible	65146864	1	7	
156	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 100 mg + 12,5 mg par ml NOURRISSONS (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1).	65168960	0	2	
164	CEFUROXIME AXETIL équivalant à CEFUROXIME 250 mg - ZINNAT 250 mg, comprimé pelliculé.	65985955	1	11	
157	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 100 mg + 12,5 mg par ml ENFANTS (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1).	69238826	0	2	
157	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 100 mg + 12,5 mg par ml ENFANTS (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1).	66385803	1	12	
158	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 500 mg +  62,5 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1).	63260043	0	2	
159	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 1 g + 125 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 1 g/125 mg ADULTE, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1).	64571766	0	2	
159	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 1 g + 125 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 1 g/125 mg ADULTE, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1).	60685523	1	3	
159	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 1 g + 125 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 1 g/125 mg ADULTE, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1).	61346910	1	9	
159	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 1 g + 125 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 1 g/125 mg ADULTE, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1).	66929913	1	15	
159	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 1 g + 125 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 1 g/125 mg ADULTE, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1).	68959111	1	18	
161	CEFALEXINE 500 mg - KEFORAL 500 mg, comprimé pelliculé	64113815	1	2	
162	CEFALEXINE 1 g - KEFORAL 1 g, comprimé pelliculé	69868885	1	2	
163	CEFUROXIME AXETIL équivalant à CEFUROXIME 125 mg - ZINNAT 125 mg, comprimé pelliculé.	69015015	1	2	
164	CEFUROXIME AXETIL équivalant à CEFUROXIME 250 mg - ZINNAT 250 mg, comprimé pelliculé.	62818698	1	5	
165	CEFUROXIME AXETIL équivalant à CEFUROXIME 500 mg - ZINNAT 500 mg, comprimé pelliculé.	67642478	0	1	
165	CEFUROXIME AXETIL équivalant à CEFUROXIME 500 mg - ZINNAT 500 mg, comprimé pelliculé.	69433210	1	5	
165	CEFUROXIME AXETIL équivalant à CEFUROXIME 500 mg - ZINNAT 500 mg, comprimé pelliculé.	62863266	1	7	
165	CEFUROXIME AXETIL équivalant à CEFUROXIME 500 mg - ZINNAT 500 mg, comprimé pelliculé.	60727431	1	10	
169	CEFADROXIL 125 mg/5 ml - ORACEFAL 125 mg/5 ml, poudre pour suspension buvable	69386636	1	2	
169	CEFADROXIL 125 mg/5 ml - ORACEFAL 125 mg/5 ml, poudre pour suspension buvable	67617382	1	3	
170	CEFADROXIL 250 mg/5 ml - ORACEFAL 250 mg/5 ml, poudre pour suspension buvable	61760765	1	2	
171	CEFADROXIL 500 mg/5 ml - ORACEFAL 500 mg/5 ml, poudre pour suspension buvable	62481188	1	2	
177	CEFTRIAXONE (SODIQUE) équivalant à CEFTRIAXONE 1 g/10 ml - ROCEPHINE 1 g/10 ml, poudre et solvant pour solution injectable (IV)	66271835	1	6	
179	CEFRADINE 500 mg - KELSEF 500 mg, gélule	68744315	0	1	
179	CEFRADINE 500 mg - KELSEF 500 mg, gélule	63608592	1	2	
184	ERYTHROMYCINE PROPIONATE équivalant à ERYTHROMYCINE 500 mg - PROPIOCINE 500 mg, comprimé.	65802133	0	1	
185	ROXITHROMYCINE 100 mg - CLARAMID ENFANTS 100 mg, comprimé pelliculé - RULID 100 mg, comprimé pelliculé	62458677	0	1	
185	ROXITHROMYCINE 100 mg - CLARAMID ENFANTS 100 mg, comprimé pelliculé - RULID 100 mg, comprimé pelliculé	60424555	0	2	
188	CIPROFLOXACINE (CHLORHYDRATE DE) équivalant à CIPROFLOXACINE 250 mg - CIFLOX 250 mg, comprimé pelliculé sécable.	67417855	1	5	
189	CIPROFLOXACINE (CHLORHYDRATE DE) équivalant à CIPROFLOXACINE 500 mg - CIFLOX 500 mg, comprimé pelliculé sécable.	67860797	1	8	
189	CIPROFLOXACINE (CHLORHYDRATE DE) équivalant à CIPROFLOXACINE 500 mg - CIFLOX 500 mg, comprimé pelliculé sécable.	62061889	2	11	
191	NORFLOXACINE 400 mg - NOROXINE 400 mg, comprimé enrobé	69005170	0	1	
192	SPIRAMYCINE 0.75 M.UI + METRONIDAZOLE 125 mg - RODOGYL, comprimé pelliculé.	68142878	1	6	
195	FLUCONAZOLE 50 mg - TRIFLUCAN 50 mg, gélule	65694177	1	8	
196	FLUCONAZOLE 100 mg - TRIFLUCAN 100 mg, gélule	67127834	1	8	
197	FLUCONAZOLE 200 mg - TRIFLUCAN 200 mg, gélule	62321237	1	7	
199	ACICLOVIR 800 mg - ZOVIRAX 800 mg, comprimé	68131903	1	4	
202	FLUTAMIDE 250 mg - EULEXINE 250 mg, comprimé	64713856	0	1	
203	AZATHIOPRINE 50 mg - IMUREL 50 mg, comprimé sécable	66288336	0	1	
206	DICLOFENAC SODIQUE 25 mg - VOLTARENE 25 mg, comprimé enrobé gastro-résistant.	67419870	1	2	
217	IBUPROFENE 400 mg - BRUFEN 400 mg, comprimé enrobé.	66785733	0	1	
221	NAPROXENE SODIQUE 550 mg - APRANAX 550 mg, comprimé pelliculé sécable	61990606	1	3	
229	KETOPROFENE 2,5 % - PROFENID 2,5 POUR CENT, gel en tube.	60509468	0	1	
229	KETOPROFENE 2,5 % - PROFENID 2,5 POUR CENT, gel en tube.	68481597	1	3	
229	KETOPROFENE 2,5 % - PROFENID 2,5 POUR CENT, gel en tube.	69966653	1	4	
233	THIOCOLCHICOSIDE 4 mg/2 ml - COLTRAMYL 4 mg/2 ml, solution injectable IM en ampoule.	60339959	0	1	
236	ALLOPURINOL 200 mg - ZYLORIC 200 mg, comprimé	69286109	1	8	
237	ALLOPURINOL 300 mg - ZYLORIC 300 mg, comprimé	69003874	1	7	
242	TRAMADOL (CHLORHYDRATE DE) 50 mg - CONTRAMAL 50 mg, gélule - TOPALGIC 50 mg, gélule.	69436847	1	7	
242	TRAMADOL (CHLORHYDRATE DE) 50 mg - CONTRAMAL 50 mg, gélule - TOPALGIC 50 mg, gélule.	63955116	1	18	
244	IBUPROFENE 20 mg/ml - NUREFLEX 20 mg/ml ENFANTS ET NOURRISSONS, suspension buvable.	63235175	0	1	
245	DIHYDROERGOTAMINE (MESILATE DE) 2 mg/ml - DIHYDROERGOTAMINE AMDIPHARM 2 mg/ml, solution buvable.	64775128	1	2	
249	CARBAMAZEPINE 400 mg - TEGRETOL LP 400 mg, comprimé pelliculé sécable à libération prolongée	64288280	1	2	
256	SELEGILINE (CHLORHYDRATE DE) 5 mg - DEPRENYL 5 mg, comprimé sécable	68879576	1	2	
257	CLOZAPINE 25 mg - LEPONEX 25 mg, comprimé sécable	68576604	1	4	
264	AMISULPRIDE 100 mg - SOLIAN 100 mg, comprimé sécable	63490375	1	7	
265	AMISULPRIDE 200 mg - SOLIAN 200 mg, comprimé sécable.	63588691	1	6	
265	AMISULPRIDE 200 mg - SOLIAN 200 mg, comprimé sécable.	67781741	1	8	
266	DIAZEPAM 2 mg - VALIUM ROCHE 2 mg, comprimé sécable	61958626	1	2	
267	DIAZEPAM 5 mg - VALIUM ROCHE 5 mg, comprimé sécable	60451602	1	2	
273	BUSPIRONE (CHLORHYDRATE DE) 10 mg - BUSPAR 10 mg, comprimé sécable	66877886	0	1	
280	FLUOXETINE (CHLORHYDRATE DE) équivalant à FLUOXETINE 20 mg - PROZAC 20 mg, gélule.	67136192	1	7	
282	FLUOXETINE (CHLORHYDRATE DE) équivalant à FLUOXETINE 20 mg/5 ml - PROZAC 20 mg/5 ml, solution buvable en flacon.	61559602	1	4	
282	FLUOXETINE (CHLORHYDRATE DE) équivalant à FLUOXETINE 20 mg/5 ml - PROZAC 20 mg/5 ml, solution buvable en flacon.	68906272	1	5	
284	PAROXETINE (CHLORHYDRATE DE) équivalant à PAROXETINE 20 mg - DEROXAT 20 mg, comprimé pelliculé sécable.	69974059	1	13	
288	MIANSERINE (CHLORHYDRATE DE) 10 mg - ATHYMIL 10 mg, comprimé pelliculé	65455960	0	1	
289	MIANSERINE (CHLORHYDRATE DE) 30 mg - ATHYMIL 30 mg, comprimé pelliculé	64775562	0	1	
290	MIANSERINE (CHLORHYDRATE DE) 60 mg - ATHYMIL 60 mg, comprimé pelliculé sécable	68812015	0	1	
291	PIRACETAM 20 g/100 ml - NOOTROPYL 20 %, solution buvable.	67370590	1	3	
291	PIRACETAM 20 g/100 ml - NOOTROPYL 20 %, solution buvable.	63456031	1	4	
292	PIRACETAM 400 mg - NOOTROPYL 400 mg, gélule	62331936	0	1	
294	BETAHISTINE (DICHLORHYDRATE DE) 8 mg - SERC 8 mg, comprimé.	68850304	1	9	
365	GABAPENTINE 300 mg – NEURONTIN 300 mg, gélule.	65547992	1	2	
303	CARBOCISTEINE 2 % - RHINATHIOL EXPECTORANT CARBOCISTEINE 2 % ENFANTS, sirop.	69219854	1	8	
304	CARBOCISTEINE 2 % - RHINATHIOL EXPECTORANT CARBOCISTEINE 2 % ENFANTS SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol liquide.	63828492	1	9	
306	CARBOCISTEINE 5 % - MUCOPLEXIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique.	69366797	1	3	
306	CARBOCISTEINE 5 % - MUCOPLEXIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique.	65589393	1	7	
306	CARBOCISTEINE 5 % - MUCOPLEXIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique.	65522010	1	13	
306	CARBOCISTEINE 5 % - MUCOPLEXIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique.	67584217	1	16	
306	CARBOCISTEINE 5 % - MUCOPLEXIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique.	61878920	1	17	
308	AMBROXOL (CHLORHYDRATE D') 0,6 % - SURBRONC EXPECTORANT AMBROXOL SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique et au sorbitol.	64645444	1	7	
309	CETIRIZINE (DICHLORHYDRATE DE) 10 mg - ZYRTEC 10 mg, comprimé pelliculé sécable - VIRLIX 10 mg, comprimé pelliculé sécable - REACTINE 10 mg, comprimé pelliculé sécable -  ZYRTECSET 10 mg, comprimé pelliculé sécable.	64404112	0	1	
309	CETIRIZINE (DICHLORHYDRATE DE) 10 mg - ZYRTEC 10 mg, comprimé pelliculé sécable - VIRLIX 10 mg, comprimé pelliculé sécable - REACTINE 10 mg, comprimé pelliculé sécable -  ZYRTECSET 10 mg, comprimé pelliculé sécable.	63419848	0	3	
309	CETIRIZINE (DICHLORHYDRATE DE) 10 mg - ZYRTEC 10 mg, comprimé pelliculé sécable - VIRLIX 10 mg, comprimé pelliculé sécable - REACTINE 10 mg, comprimé pelliculé sécable -  ZYRTECSET 10 mg, comprimé pelliculé sécable.	64487688	1	10	
309	CETIRIZINE (DICHLORHYDRATE DE) 10 mg - ZYRTEC 10 mg, comprimé pelliculé sécable - VIRLIX 10 mg, comprimé pelliculé sécable - REACTINE 10 mg, comprimé pelliculé sécable -  ZYRTECSET 10 mg, comprimé pelliculé sécable.	69354916	1	11	
309	CETIRIZINE (DICHLORHYDRATE DE) 10 mg - ZYRTEC 10 mg, comprimé pelliculé sécable - VIRLIX 10 mg, comprimé pelliculé sécable - REACTINE 10 mg, comprimé pelliculé sécable -  ZYRTECSET 10 mg, comprimé pelliculé sécable.	66283563	1	29	
314	TIMOLOL (MALEATE DE) équivalant à TIMOLOL 0,10 % - TIMOPTOL 0,10 %, collyre en solution.	62248839	0	1	
315	TIMOLOL (MALEATE DE) équivalant à TIMOLOL 0,25 % - TIMOPTOL 0,25 %, collyre en solution.	67424006	1	2	
316	TIMOLOL (MALEATE DE) équivalant à TIMOLOL 0,5 % - TIMOPTOL 0,50 %, collyre en solution.	65339991	1	2	
322	AMISULPRIDE 400 mg - SOLIAN 400 mg, comprimé pelliculé sécable.	62928415	1	6	
322	AMISULPRIDE 400 mg - SOLIAN 400 mg, comprimé pelliculé sécable.	60600156	1	8	
324	AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE  + ACIDE CLAVULANIQUE 1 g + 200 mg - AUGMENTIN 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV).	69280145	1	2	
326	CARVEDILOL 6,25 mg - KREDEX 6,25 mg, comprimé sécable.	61942084	2	4	
326	CARVEDILOL 6,25 mg - KREDEX 6,25 mg, comprimé sécable.	61949239	2	8	
329	LEVOCETIRIZINE (DICHLORHYDRATE DE) 5 mg – XYZALL 5 mg, comprimé pelliculé.	62882672	1	6	
