cis_code	has_code	ass_reason	date_string	asmr	asmr_label
61815891	CT-8227	Extension d'indication	20100721	V	Compte tenu de l'absence de comparaison versus comparateur actif et de la durée insuffisante d'évaluation, ABILIFY n'apporte pas d'amélioration du service médical rendu dans la prise en charge de la schizophrénie chez l'adolescent dans l'attente de données contrôlées sur une période de traitement d'au moins 6 mois.
60599533	CT-8227	Extension d'indication	20100721	V	Compte tenu de l'absence de comparaison versus comparateur actif et de la durée insuffisante d'évaluation, ABILIFY n'apporte pas d'amélioration du service médical rendu dans la prise en charge de la schizophrénie chez l'adolescent dans l'attente de données contrôlées sur une période de traitement d'au moins 6 mois.
64224801	CT-8227	Extension d'indication	20100721	V	Compte tenu de l'absence de comparaison versus comparateur actif et de la durée insuffisante d'évaluation, ABILIFY n'apporte pas d'amélioration du service médical rendu dans la prise en charge de la schizophrénie chez l'adolescent dans l'attente de données contrôlées sur une période de traitement d'au moins 6 mois.
66791654	CT-8227	Extension d'indication	20100721	V	Compte tenu de l'absence de comparaison versus comparateur actif et de la durée insuffisante d'évaluation, ABILIFY n'apporte pas d'amélioration du service médical rendu dans la prise en charge de la schizophrénie chez l'adolescent dans l'attente de données contrôlées sur une période de traitement d'au moins 6 mois.
65198099	CT-8227	Extension d'indication	20100721	V	Compte tenu de l'absence de comparaison versus comparateur actif et de la durée insuffisante d'évaluation, ABILIFY n'apporte pas d'amélioration du service médical rendu dans la prise en charge de la schizophrénie chez l'adolescent dans l'attente de données contrôlées sur une période de traitement d'au moins 6 mois.
61815891	CT-5831	Extension d'indication	20090218	V	Les spécialités ABILIFY n'apportent pas d'amélioration du service médical rendu (ASMR V) dans la prise en charge des patients ayant un trouble bipolaire de type I.
65198099	CT-5831	Extension d'indication	20090218	V	Les spécialités ABILIFY n'apportent pas d'amélioration du service médical rendu (ASMR V) dans la prise en charge des patients ayant un trouble bipolaire de type I.
66791654	CT-5831	Extension d'indication	20090218	V	Les spécialités ABILIFY n'apportent pas d'amélioration du service médical rendu (ASMR V) dans la prise en charge des patients ayant un trouble bipolaire de type I.
60599533	CT-5831	Extension d'indication	20090218	V	Les spécialités ABILIFY n'apportent pas d'amélioration du service médical rendu (ASMR V) dans la prise en charge des patients ayant un trouble bipolaire de type I.
64224801	CT-5831	Extension d'indication	20090218	V	Les spécialités ABILIFY n'apportent pas d'amélioration du service médical rendu (ASMR V) dans la prise en charge des patients ayant un trouble bipolaire de type I.
69902323	CT-2034	Extension d'indication	20060104	V	Dans l'extension d’indication Prévention des événements coronaires et cérébrovasculaires chez des patients diabétiques de type 2 avec un autre facteur de risque, avec ou sans hyperlipidémie associée, l’atorvastatine à la posologie de 10 mg/j partage avec la simvastatine 40 mg/j la même amélioration du service médical rendu : pas d'amélioration du service médical rendu majeure (ASMR V), chez le coronarien, indépendamment du niveau du cholestérol.
69902323	CT-2034	Extension d'indication	20060104	I	Dans l'extension d’indication Prévention des événements coronaires et cérébrovasculaires chez des patients diabétiques de type 2 avec un autre facteur de risque, avec ou sans hyperlipidémie associée, l’atorvastatine à la posologie de 10 mg/j partage avec la simvastatine 40 mg/j la même amélioration du service médical rendu : amélioration du service médical rendu majeure (ASMR I), en prévention secondaire chez des patients avec des antécédents d’AVC ou souffrant d’artériopathie périphérique, sans hyperlipidémie, et en prévention primaire chez les diabétiques de type 2 ayant un risque cardio-vasculaire élevé, indépendamment de la cholestérolémie.
69466146	CT-2034	Extension d'indication	20060104	I	Dans l'extension d’indication Prévention des événements coronaires et cérébrovasculaires chez des patients diabétiques de type 2 avec un autre facteur de risque, avec ou sans hyperlipidémie associée, l’atorvastatine à la posologie de 10 mg/j partage avec la simvastatine 40 mg/j la même amélioration du service médical rendu : amélioration du service médical rendu majeure (ASMR I), en prévention secondaire chez des patients avec des antécédents d’AVC ou souffrant d’artériopathie périphérique, sans hyperlipidémie, et en prévention primaire chez les diabétiques de type 2 ayant un risque cardio-vasculaire élevé, indépendamment de la cholestérolémie.
60703487	CT-2034	Extension d'indication	20060104	V	Dans l'extension d’indication Prévention des événements coronaires et cérébrovasculaires chez des patients diabétiques de type 2 avec un autre facteur de risque, avec ou sans hyperlipidémie associée, l’atorvastatine à la posologie de 10 mg/j partage avec la simvastatine 40 mg/j la même amélioration du service médical rendu : pas d'amélioration du service médical rendu majeure (ASMR V), chez le coronarien, indépendamment du niveau du cholestérol.
60703487	CT-2034	Extension d'indication	20060104	I	Dans l'extension d’indication Prévention des événements coronaires et cérébrovasculaires chez des patients diabétiques de type 2 avec un autre facteur de risque, avec ou sans hyperlipidémie associée, l’atorvastatine à la posologie de 10 mg/j partage avec la simvastatine 40 mg/j la même amélioration du service médical rendu : amélioration du service médical rendu majeure (ASMR I), en prévention secondaire chez des patients avec des antécédents d’AVC ou souffrant d’artériopathie périphérique, sans hyperlipidémie, et en prévention primaire chez les diabétiques de type 2 ayant un risque cardio-vasculaire élevé, indépendamment de la cholestérolémie.
69466146	CT-2034	Extension d'indication	20060104	V	Dans l'extension d’indication Prévention des événements coronaires et cérébrovasculaires chez des patients diabétiques de type 2 avec un autre facteur de risque, avec ou sans hyperlipidémie associée, l’atorvastatine à la posologie de 10 mg/j partage avec la simvastatine 40 mg/j la même amélioration du service médical rendu : pas d'amélioration du service médical rendu majeure (ASMR V), chez le coronarien, indépendamment du niveau du cholestérol.
